Year,Chevrolet Sonic,Honda Fit,Ford Fiesta,ÿHyundai Accent,Kia Soul,Nissan Versa,Toyota Yaris,Kia Rio,Toyota Prius C,
1994,,,, -   ,,,,,,
1995,,,," 46,500 ",,,,,,
1996,,,," 53,252 ",,,,,,
1997,,,," 40,355 ",,,," 35,494 ",,
1998,,,," 30,231 ",,,," 54,311 ",,
1999,,,," 41,235 ",,,," 82,211 ",,
2000,,,," 66,736 ",,,," 16,624 ",,
2001,,,," 79,480 ",,,," 51,541 ",,
2002,,,," 71,488 ",,,," 51,195 ",,
2003,,,," 56,585 ",,,," 41,285 ",,
2004,,,," 43,258 ",,,," 38,518 ",,
2005,,,," 41,012 ",,,," 30,290 ",,
2006,," 27,934 ",," 34,735 ",," 22,044 "," 70,308 "," 28,388 ",,
2007,," 56,432 ",," 36,055 ",," 79,443 "," 84,799 "," 33,370 ",,
2008,," 79,794 ",," 50,431 ",," 85,182 "," 102,328 "," 36,532 ",,
2009,," 67,315 ",," 68,086 "," 31,621 "," 82,906 "," 63,743 "," 34,666 ",,
2010,," 54,354 "," 23,273 "," 51,975 "," 67,110 "," 99,705 "," 40,076 "," 24,619 ",,
2011," 15,778 "," 59,235 "," 68,574 "," 55,601 "," 102,267 "," 99,730 "," 32,704 "," 20,111 ",,
2012," 81,247 "," 49,346 "," 56,775 "," 61,004 "," 115,778 "," 113,327 "," 30,589 "," 40,275 "," 35,753 ",
2013," 85,646 "," 53,513 "," 71,073 "," 60,458 "," 118,079 "," 117,352 "," 21,342 "," 40,742 "," 41,979 ",
2014," 93,518 "," 59,340 "," 63,192 "," 63,309 "," 145,316 "," 139,781 "," 13,274 "," 35,933 "," 40,570 ",
2015," 64,775 "," 52,724 "," 64,458 "," 61,486 "," 147,133 "," 144,528 "," 16,779 "," 23,742 "," 38,469 ",
2016," 55,255 "," 56,630 "," 48,807 "," 79,766 "," 145,768 "," 132,214 "," 10,872 "," 28,700 "," 20,452 ",
2017," 30,290 "," 49,454 "," 46,249 "," 58,955 "," 115,712 "," 106,772 "," 8,653 "," 16,760 "," 12,415 ",
