date,Chrysler Pacifica,Chrysler Town & Country,Dodge Grand Caravan,Honda Odyssey,Kia Sedona,Mazda Mazda5,Nissan Quest,Toyota Sienna
1985,0,0,136335,0,0,0,0,0
1986,0,0,130551,0,0,0,0,0
1987,0,0,167042,0,0,0,0,0
1988,0,0,230140,0,0,0,0,0
1989,0,1812,219576,0,0,0,0,0
1990,0,2891,205956,0,0,0,0,0
1991,0,5236,216510,0,0,0,0,0
1992,0,0,251921,0,0,0,0,0
1993,0,0,281521,0,0,0,0,0
1994,0,35103,268013,230,0,0,0,0
1995,0,50733,267060,25911,0,0,54050,0
1996,0,0,300117,27025,0,0,0,0
1997,0,76653,300000,20333,0,0,0,15180
1998,0,71981,293819,20819,0,0,30466,81391
1999,0,71957,293100,77801,0,0,44467,98809
2000,0,99252,285739,126705,0,0,42800,103137
2001,0,142902,242036,131041,15069,0,29232,88469
2002,0,126378,244911,153467,39088,0,17480,80915
2003,56656,140007,233394,154063,50628,0,23170,105499
2004,92363,142523,242307,154238,61149,0,46430,159119
2005,85557,180759,226771,174275,52837,4761,40357,161380
2006,78243,159105,211140,177919,57018,17109,31905,163269
2007,53947,138151,176150,173046,40493,13718,28590,138162
2008,7345,118563,123749,135493,26915,22021,18252,115944
2009,1955,84558,90666,100133,27398,18488,8437,84064
2010,0,112275,103323,108182,21823,15683,177,98337
2011,0,94320,110862,107068,24047,19155,12199,111429
2012,0,111744,141468,125980,17512,14640,18275,114722
2013,0,122288,124019,128987,7079,13884,12874,121117
2014,0,138040,134152,122738,14567,11613,9833,124502
2015,0,93848,97141,127736,36755,8609,11017,137497
2016,61525,62724,125275,120846,44264,375,11115,127791
2017,118274,577,125196,100307,23815,10,4950,111489
